E yu mbena ka'. E fúú efa rkwe aèmboè e m laèa naè. Vúè neè yá mbe dïì' ce yi gúèú yi mú noêñ.	He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
Nyúè aè laèa mbe ñwaâ' Hoèsiyaè enáê, “Beèe ce a m ba yaè beèe ka', m be too woweèe ená yaè beèe. M be too to' ce máè m koèñ ka' ená ya to' ce m koèñ seê.”	"As he says also in Hosea, ""I will call them 'my people,' which were not my people; and her 'beloved,' who was not beloved."""
Weèe fa ba aèbee weèe beèe ce a yu ñgaâa rbyemïì ka' ka'. AÈde' yuu yáánïì ba yuu bebep a koo ñkar aè njáèá ká? Yuu ce rraa li túr aè rgeèe a túè'nji yu ká?	Don't be unequally yoked with unbelievers, for what fellowship have righteousness and iniquity? Or what fellowship has light with darkness?
njobeè' Dimaès aè koèñ yi yu ba buu enjep ñgoèñ, a ma'shi máè a du aè to' Táèsaèlonikaè. Krïûsáèn aè du yi ba aè ñgoâñ Gaèláshaè, Taitoès aè du yi ba aè ñgoâñ Daèlmashaè.	for Demas left me, having loved this present world, and went to Thessalonica; Crescens to Galatia, and Titus to Dalmatia.
Ca yi ka' caèa wáá, Judaès ce e m ba ñwáâ aè ñgoâñ Galeèle aè nyáá mbe nfeè' ce a m ce beè' beèe, a súñ beèe mo' aè mbeèp yïì. Ye ye aè m kwe, beèe ce a m ce duè a yeâ mbuèu, a da'seè.	After this man, Judas of Galilee rose up in the days of the enrollment, and drew away some people after him. He also perished, and all, as many as obeyed him, were scattered abroad.
“AÈmboè yi yu wa' seè'ni na, bfúr waê, máè rïìñ máná yuu ce weèe ker ba beèe ce a m ce sa' weèe aè m geèe neè Jisoès naè, weèe woweèe aè m ce geèe wa'a, a riñ yuu ce weèe aè m ce geèe ka'.	"Now, brothers, I know that you did this in ignorance, as did also your rulers.
Acts	Mfaè' Ñgaâa Ntuu Jisoès	3	18	Nyúè aè m geèe ená yi ba wa'a tá yuu ce e m suñ beèe njïì enjep yi ñgaâa ntuu naè yi bo ghááte njo. E m laèa ená Kraâis ce e be tuu naè be keè yá ñgá'.	But the things which God announced by the mouth of all his prophets, that Christ should suffer, he thus fulfilled.
Acts	Mfaè' Ñgaâa Ntuu Jisoès	3	19	Kupse neè, ma' yeè buu bbebep, tá Nyúè bo siñsi yeè buu bbebep anaè. E ka' siñsi, e fa weèe nfeè' ce weèe be yu' rboèñ,	Repent therefore, and turn again, that your sins may be blotted out, so that there may come times of refreshing from the presence of the Lord,"
Ca yu ba njáèá ká? Waè' beèe ce máè m tuu máná a vú yá weèe naè, a m vúè wa'a ená m bo bo' weèe koshi buu ese weèe a?	Did I take advantage of you by anyone of them whom I have sent to you?
Ñgaâa keè'ni Ndap Nyúè a m kúti a du a yá beâe bgoèrgoèr efa múè ñgaâa tañshi tañshïì ba beèe Farïìsïî. Woweèe a bipshïì neè woweèe enáê, “Weèe aè duè a koo ye a vú aègho ka' njoká?”	"The officers therefore came to the chief priests and Pharisees, and they said to them, ""Why didn't you bring him?"""
Seèe aè yá'ni aèmboè baèptïîr, ker ba aèmboè a ke la' beèe mmbo mbe tuè, a ker yá'ni aèmboè Nyúè be keè fúr beèe efa rkwe, a yá'ni aèmboè mnsa' ce a be keè sa', teni nfeseè.	of the teaching of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.
Yi yá wa'a, ker du vú neè byú' mmo' vi saèambaê, ce vi bep a caa yi, a woweèe a niñ cu mbo, ñgaèñ misïì bep caa aèmboè e m ba entombïì naè.”	"Then he goes, and takes seven other spirits more evil than himself, and they enter in and dwell there. The last state of that man becomes worse than the first."""
Fa cìʼ kìdàŋ anà kaʼ njoʼ zhi be gwè.	Donʼt shake that bench because it will fall.
njobeè' woweèe wááwá a m yá ye, a ce wáp. E ku laa neè woweèe aè nfeè' anaè enáê, “Kur neè ntee, a máè, fa wáp neè ka'.”	"for they all saw him, and were troubled. But he immediately spoke with them, and said to them, ""Cheer up! It is I! Don't be afraid."""
Asaè aè m bi Jásafaèr, Jásafaèr aè bi Joraèm, Joraèm aè bi OÈsayaè,	Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah.
Ñwáè anaè aè ku luñ aè nfeè' anaè a lor li rwaèa a ce duè. Noèñ ce Jisoès aè m geèe ñwáè anaè e luñ efa yi yañ anaè, aè m ba nyúè mmbomntaa Nyúè.	Immediately, the man was made well, and took up his mat and walked. Now it was the Sabbath on that day.
Beèe mo' beèe nsaèambaê ce a m ce geèe wa'a, aè m ba boo Sïìkivaè ce e m ba ñwáè Jus moè' ce e m ba ñwáâ ñgoèr moè' efa múè ñgaâa tañshi tañshïì.	There were seven sons of one Sceva, a Jewish chief priest, who did this.
Beèe ca wááwá a gaèpni buu moè' efa ku' yaèp buu ce a túr, a fa rfa aègho, ñgwañkúñwáè ca ce e túr yuu ka' aè loèr mú yuu wááwá ce e túr aè ba yïì ce yi ba jaè' ye, a fa.”	"for they all gave out of their abundance, but she, out of her poverty, gave all that she had to live on."""
Ñgaâa yá'ni yïì buu anaè a ka' yá aèmboè e geèe wa'a, woweèe a kuushïì yuu ce a sañ mbe Ñwaâ' Nyúè enáê, “Njáèá rkoèñnïì ce máè túr neè yoè ndap li be yú máè” naè.	"His disciples remembered that it was written, ""Zeal for your house will eat me up."""
Baná m ka' ce duè aè to' Spáên, tá m lá' caè'ni wee weèe tá seèe ku cu nfeè' múcaèr, tá m bo yu' rboèñ aè rba a weâe mú, tá weèe ka' jaè' máè tá m duê.	whenever I journey to Spain, I will come to you. For I hope to see you on my journey, and to be helped on my way there by you, if first I may enjoy your company for a while.
A ka' yu', a tuu woweèe aè rla' Bátáèláèháêm, a laa enáê, “Duè neè du roo muu anaè boèñboñ, weâe roèo yá ye, weèe gee tá m rïîñ, tá m bo duè caè'ni ye foñ.”	"He sent them to Bethlehem, and said, ""Go and search diligently for the young child. When you have found him, bring me word, so that I also may come and worship him."""
Muu ca à kùʼ sê.	This child is very fat.
Beèe ce a m ba, a yá yuu ce yi m koni neè ñwáè ca ba ñkuânyaèm ca a m suñ neè beèe anaè.	Those who saw it declared to them how it happened to him who was possessed by demons, and about the pigs.
Jus a ká' a ce de'ñger njobeè' Jisoès aè m laèa enáê, “A máè byee ce vi suèu embe buèu.”	"The Jews therefore murmured concerning him, because he said, ""I am the bread which came down out of heaven."""
Mbʉ yèe yu mbeer.	Your goat is red.
Baná m be bepsi yaè buu wááwá njo' weèe, fa yaè nyor foñ neè weèe neè rlu'shïì-ñwáè. M ka' koñ weèe goèr aèmboè m koèñ naè, weèe koñ ye máè múcaèr a?	I will most gladly spend and be spent for your souls. If I love you more abundantly, am I loved the less?
AÈ m ba aè nfeè' entombïì weèe aè ce geèe njáèá ñgeèe ca, njáèá mkwaè'shïì aè rgeèe buu ca mi túr ñger mbe weâe nduè.	You also once walked in those, when you lived in them;
Yuu ce a m laèa, yi m boèñ beèe wááwá, woweèe a ce Stáfaèn ce e m byemi seê, a ker ruusi neè Yú' Rara, ba Feleêp, ba Pukoruès, ba Nikanoè, ba Timúèn, ba Pámánaès, ba Nikoèlaès ñwáâ aè rla' Antïìyoèk, ce e m loè a byemi neè Nyúè beèe Juês.	These words pleased the whole multitude. They chose Stephen, a man full of faith and of the Holy Spirit, Philip, Prochorus, Nicanor, Timon, Parmenas, and Nicolaus, a proselyte of Antioch;
Baná yuu ce weèe aè ba geèe neè ñwáè anaè seè'ni yi yu ená weèe aè ba foèosi ye, fa ye ñger faè dïì' bsáè vi lo koo ye ka'.	so that on the contrary you should rather forgive him and comfort him, lest by any means such a one should be swallowed up with his excessive sorrow.
Nfʉr àa e ke gèe rnsùu sê.	My brother makes a lot of display of pride.
Ŋwɛɛ Msuu [ŋwɛ̄ː msūː] cn 7.	month of April.
Máèári aè du a yá Jisoès, a gú'shi njep yeâ tïìi, a laa enáê, “Tataê, wáè mú ba aèfa, ndur yaè aè mú kwe ka'.”	"Therefore when Mary came to where Jesus was, and saw him, she fell down at his feet, saying to him, ""Lord, if you would have been here, my brother wouldn't have died."""
Pol aè laa neè woweèe enáê, “Weèe aè be sa' wer mnsa' ka', a lip weèr aè múèè beèe, a ku lor wer ce weèr yu beâe aè to' Rum a fa mbe shañ. Woweèe a ce roo seè'ni aè rfúr weèr embe shañ ba aè bsúèti njoká? AÈde' yi ba wa' ka'. Laèa neè tá woweèe a vú fúr weèr embo neè yap bo.”	"But Paul said to them, ""They have beaten us publicly, without a trial, men who are Romans, and have cast us into prison! Do they now release us secretly? No, most certainly, but let them come themselves and bring us out!"""
Mɛ̀ ba laa nè ye, e ku gee kàŋ moʼsir.	I spoke to him and he did it at once.
Ncïìndap Nyúè anaè aè laa neè ye enáê, “Fa wáp ka' Máèári, njobeè' aè túr rboâñtu weèe Nyúè.	"The angel said to her, ""Don't be afraid, Mary, for you have found favor with God."
E m ker laa neè ñgaâa yá'ni yïì buu enáê, “Baná m ce suñ weèe máná mluè mi fa ce koo weèe neè yeè nyor ená weèe be ye ba ká ka', káè neè yeè nyor ená weèe be yar ba ká lá ka'.	"He said to his disciples, ""Therefore I tell you, don't be anxious for your life, what you will eat, nor yet for your body, what you will wear."
Suèusi neè wee mnyor njep nsheè aè bsii Tataê, tá e naa weèe mbekïì.	Humble yourselves in the sight of the Lord, and he will exalt you.
E ciisïì neè woweèe ená a fa suñ ñwáè moè' ená a ye Kraâis anaè ka'.	He commanded them that they should tell no one about him.
Jisoès aè beesïì enáê, “Maè'shi tá yi ba wa'a seè'ni na. Yi yu boèñboñ ená seèe gee ca tá seèe bo geèe buu wááwá ce vi yu yáánïì.” Joân aè byemïì.	"But Jesus, answering, said to him, ""Allow it now, for this is the fitting way for us to fulfill all righteousness."" Then he allowed him."
Pitaè aè du a yeâ mbuèu, a ba yi encaèñ. E du a ba' mbe cuèu mambe ñwáè ce e m ba tu neè ñgaâa tañshi tañshïì, a niñ mbo, a cu aè nsheè a beèe ce a m ce keè'ni Ndap Nyúè, tá e bo yá yuu ce yi be ba.	But Peter followed him from a distance, to the court of the high priest, and entered in and sat with the officers, to see the end.
njobeè' le rbyemïì li be lúèsi neè rluèñ ce weèe ce keè' aè rkonïì naè.	receiving the result of your faith, the salvation of your souls.
Baná seèe yoñshi Nyúè aè rlii Jisoès. Liseèe ryoèñshïìì anaè li be ba aèmboè tañshïì ce seèe aè geèe neè Nyúè wa'a. Seèe yoñshi ye neè viseèe mnjeèndoñ aè njïû yáánïì.	Through him, then, let us offer up a sacrifice of praise to God continually, that is, the fruit of lips which proclaim allegiance to his name.
Mɛ̀ saa blabaʼ ese ye.	I bought shoes from him on credit.
Wáè loèr yo yu ená aède' aè duñshïì mnfeèp nduunjïì. AÈ ce laèa wáná aè yu rraa neè beèe ce a yu aè túè'nji.	and are confident that you yourself are a guide of the blind, a light to those who are in darkness,
Josáèf aè du a yuu cáâ' boèñboñ, a suusi gúâú ñwáè embe kïìntaa, a kur neè cáè' anaè a lá njep rsheè ce a m soè' nje ryáá. A ka' láè a biñsi ma luèr a cete ncuèu rsheè aègho.	He bought a linen cloth, and taking him down, wound him in the linen cloth, and laid him in a tomb which had been cut out of a rock. He rolled a stone against the door of the tomb.
Yú' ce weèe aè m koni naè yu ba yú' ce yi geèe weèe aè ba bkwaèa tá weèe bo ce wáp buu ka', yu ba yú' ce yi geèe weèe aè ba ba boo Nyúè. Yú' anaè yi geèe seèe aè ce war neè Nyúè enáê, “Abaè, Yaè Taê.”	"For you didn't receive the spirit of bondage again to fear, but you received the Spirit of adoption, by whom we cry, ""Abba! Father!"""
Yu'ni neè neè beèe wááwá, koñ bfúr ce weèe woweèe yu ñgaâa rbyemïì, wáp Nyúè, yu'ni neè ñkúú.	Honor all men. Love the brotherhood. Fear God. Honor the king.
Ñwáè wááwá be kuè kwe ba nfeè' moè'sir. E loè embenjïìmo tá Nyúè sa' ye.	Inasmuch as it is appointed for men to die once, and after this, judgment,
Ka' ba ená m yu' nyor baná m be yu' nyor ba aè buu ce vi duèñshi wa bgoè'sïì.	If I must boast, I will boast of the things that concern my weakness.
“Naèa neè mbúè mbaèa ce a ke maè' mbaâa baèraè' aègho.” Woweèe a vú neè mbúè mbaèa a fa neè ye, e laa enáê, “Tu ñwáè embo a yïû nda, rlii ce a sañ mbo aè ba lïû nda?” Woweèe a beesïì enáê, “Tu embo a yi ñkwe Ruêm, rlii embo aè ba li foñ.”	"Show me a denarius. Whose image and inscription are on it?"" They answered, ""Caesar's."""
Nyúè viseèe btarkú aè m fúr Jisoès ce weèe aè m káèti mbe ce e kwe naè efa rkwe.	The God of our fathers raised up Jesus, whom you killed, hanging him on a tree.
Seèe fa moèoshi Tata aèmboè beèe mo' efa woweèe a m moèoshi naè ka'. Mnyo vi m tashi woweèe, woweèe a kweñgeèr.	Neither let us test the Lord, as some of them tested, and perished by the serpents.
Nfò ce bàŋbaŋ njo yaŋ muu zhìi.	Nfor is worried because of his childʼs illness.
Ñgaâa yá'ni buu vïû Joân, a vúê, a yá ye a bipshi enáê, “Weèr beèe Farïìsi weèe e ke jïì mdip, geewa'a ñgaâa yá'ni yoè buu a ce jïì yap ka' njoká?”	"Then John's disciples came to him, saying, ""Why do we and the Pharisees fast often, but your disciples don't fast?"""
Boo waê, nfeè' ca yu lúèsimbuèu nfeè'. Weèe aè m yu' ená ñwáè ce e baèa Kraâis ce vúè. Beèe ce a baèa Kraâis a vúè seè'ni aè ku' ñgoo, baná seèe yi seè'ni ená nfeè' anaè aè gháá.	Little children, these are the end times, and as you heard that the Antichrist is coming, even now many antichrists have arisen. By this we know that it is the final hour.
To aè ku riñ mncir wááwá. Fa koo ñgwa ñwáè káè noèñ weèe nduu ñwáè ka', fa yú ñwáè ka', fa yáèá ka', fa táá njïìnsa' mnaèñ ka', yu'ni neè yoè ma ba yoè taê.”	"You know the commandments: 'Don't commit adultery,' 'Don't murder,' 'Don't steal,' 'Don't give false testimony,' 'Honor your father and your mother.'"""
Woweèe a m túr boo ka' njobeè' ÁÈlisabáèt aè m ba kar, woweèe a ker rúú seê.	But they had no child, because Elizabeth was barren, and they both were well advanced in years.
Geewa'a, e laa neè woweèe enáê, “M be kuè feè'shi Nsuñ Mboèñmboñ aèmboè kúú Nyúè aè mla' mo' foñ njobeè' a yuu ce Nyúè aè tuu máè ená m vú geêe.”	"But he said to them, ""I must preach the good news of the Kingdom of God to the other cities also. For this reason I have been sent."""
Tata be caèasi nfeè' ka', e be sa' mnsa' ñgoèñ, teni.	"for He will finish the work and cut it short in righteousness, because the LORD will make a short work upon the earth."""
Weèr ce shooñger seè'ni njobeè' weèr ce koèñ se aè ryar ndap ce e yu mbe buèu naè aèmboè cáè' ce ñwáè aè yar aè nyoèr wa'a.	For most certainly in this we groan, longing to be clothed with our habitation which is from heaven;
Nyo à fʉʉ emba to lǒr.	The snake has come out of the hole freely.
Ŋgòŋ zhi yu myɛ̀ʼte sê.	The soil/ground is very muddy.
Weèr ce tuu nfúr moè' ená e du a Taitoès. Nfúr ca túr rlii rboèñboñ aè bcor wááwá njo' blaâa Nyúè ce e ce feè'shi.	We have sent together with him the brother whose praise in the Good News is known through all the assemblies.
Nyúè be keè laè' ñwáè wááwá aè buu wááwá ce ñgaèñ aè m geèe.	"who ""will pay back to everyone according to their works:"""
Ca yi ka' mïì wáá, Tata aè ce ñgaâa yá'ni yïì buu moè', beèe ncoèp-baa-aè- msaèambaê, a tuu woweèe a baa a baa ená a du entombïì neè ye, du du aè mla' wááwá ker ba aè bdïì' wááwá ce e m ba aè rduè aèfo.	Now after these things, the Lord also appointed seventy others, and sent them two by two ahead of him into every city and place, where he was about to come.
A geèe ñwáè ce weèe aè yá a riñ na aè tap boèñboñ ba aè rbyemïì ce aè rlii Jisoès. AÈ ka' ba njo' rbyemïì ce aè rlii Jisoès, ñwáè ca aè tap boèñboñ a weâe bsii.	By faith in his name, his name has made this man strong, whom you see and know. Yes, the faith which is through him has given him this perfect soundness in the presence of you all.
Woowèe a ce sɛr nsɛr.	They are debating.
Joân aè ce roèo njïì aè rkanïì, a laa enáê, “Yu ba wáè ce wáè ba baèptir máè, wáè vú wáná m baptir wáè aè njáâá ká?”	"But John would have hindered him, saying, ""I need to be baptized by you, and you come to me?"""
Ka' yi m ba wa'a, Pitaè aè natïì a cañ a du faèdïì' ce rsheè li m ba, a ka' fyá' njo, a ku yá bcáè' ce a m kur ye njo naè aèmboè vi noèñte. E natïì a kúti, a ba neè rgha'nïì-ñwáè aè yuu ce yi m koni na.	But Peter got up and ran to the tomb. Stooping and looking in, he saw the strips of linen lying by themselves, and he departed to his home, wondering what had happened.
Baa kwâa zhi ke bòŋ à njàpsʉ̀ sê.	Corn fufu is usually very nice with vegetables.
Woweèe a be yá aèmboè rla' ca li ce yá ñgá', wáp, táá aènjïìsaèp laèa enáê, “Ndoèo! Ndoèo! Ma rla' rgoèr ce a too ená Babiloèn ce li túr ñger foñ se naè, li ce yá ñgá'. A ku lor ba nfeè' múcaèr, a teni wo mnsa'.”	standing far away for the fear of her torment, saying, 'Woe, woe, the great city, Babylon, the strong city! For your judgment has come in one hour.'
